"customer_id","customer_code","full_name","email","region","signup_date","is_active","created_at"
"1","CUST00000001","Customer 001","customer001@example.com","WEST","2020-01-12","true","2020-01-01 09:00:00.000000"
"2","CUST00000002","Customer 002","customer002@example.com","EAST","2020-01-23","true","2020-01-01 10:00:00.000000"
"3","CUST00000003","Customer 003","customer003@example.com","NORT","2020-02-03","true","2020-01-01 11:00:00.000000"
"4","CUST00000004","Customer 004","customer004@example.com","SOUT","2020-02-14","true","2020-01-01 12:00:00.000000"
"5","CUST00000005","Customer 005","customer005@example.com","WEST","2020-02-25","true","2020-01-01 13:00:00.000000"
"6","CUST00000006","Customer 006","customer006@example.com","EAST","2020-03-07","true","2020-01-01 14:00:00.000000"
"7","CUST00000007","Customer 007","customer007@example.com","NORT","2020-03-18","true","2020-01-01 15:00:00.000000"
"8","CUST00000008","Customer 008","customer008@example.com","SOUT","2020-03-29","true","2020-01-01 16:00:00.000000"
"9","CUST00000009","Customer 009","customer009@example.com","WEST","2020-04-09","true","2020-01-01 17:00:00.000000"
"10","CUST00000010","Customer 010","customer010@example.com","EAST","2020-04-20","false","2020-01-01 18:00:00.000000"
"11","CUST00000011","Customer 011","customer011@example.com","NORT","2020-05-01","true","2020-01-01 19:00:00.000000"
"12","CUST00000012","Customer 012","customer012@example.com","SOUT","2020-05-12","true","2020-01-01 20:00:00.000000"
"13","CUST00000013","Customer 013","customer013@example.com","WEST","2020-05-23","true","2020-01-01 21:00:00.000000"
"14","CUST00000014","Customer 014","customer014@example.com","EAST","2020-06-03","true","2020-01-01 22:00:00.000000"
"15","CUST00000015","Customer 015","customer015@example.com","NORT","2020-06-14","true","2020-01-01 23:00:00.000000"
"16","CUST00000016","Customer 016","customer016@example.com","SOUT","2020-06-25","true","2020-01-02 00:00:00.000000"
"17","CUST00000017","Customer 017","customer017@example.com","WEST","2020-07-06","true","2020-01-02 01:00:00.000000"
"18","CUST00000018","Customer 018","customer018@example.com","EAST","2020-07-17","true","2020-01-02 02:00:00.000000"
"19","CUST00000019","Customer 019","customer019@example.com","NORT","2020-07-28","true","2020-01-02 03:00:00.000000"
"20","CUST00000020","Customer 020","customer020@example.com","SOUT","2020-08-08","false","2020-01-02 04:00:00.000000"
"21","CUST00000021","Customer 021","customer021@example.com","WEST","2020-08-19","true","2020-01-02 05:00:00.000000"
"22","CUST00000022","Customer 022","customer022@example.com","EAST","2020-08-30","true","2020-01-02 06:00:00.000000"
"23","CUST00000023","Customer 023","customer023@example.com","NORT","2020-09-10","true","2020-01-02 07:00:00.000000"
"24","CUST00000024","Customer 024","customer024@example.com","SOUT","2020-09-21","true","2020-01-02 08:00:00.000000"
"25","CUST00000025","Customer 025","customer025@example.com","WEST","2020-10-02","true","2020-01-02 09:00:00.000000"
"26","CUST00000026","Customer 026","customer026@example.com","EAST","2020-10-13","true","2020-01-02 10:00:00.000000"
"27","CUST00000027","Customer 027","customer027@example.com","NORT","2020-10-24","true","2020-01-02 11:00:00.000000"
"28","CUST00000028","Customer 028","customer028@example.com","SOUT","2020-11-04","true","2020-01-02 12:00:00.000000"
"29","CUST00000029","Customer 029","customer029@example.com","WEST","2020-11-15","true","2020-01-02 13:00:00.000000"
"30","CUST00000030","Customer 030","customer030@example.com","EAST","2020-11-26","false","2020-01-02 14:00:00.000000"
"31","CUST00000031","Customer 031","customer031@example.com","NORT","2020-12-07","true","2020-01-02 15:00:00.000000"
"32","CUST00000032","Customer 032","customer032@example.com","SOUT","2020-12-18","true","2020-01-02 16:00:00.000000"
"33","CUST00000033","Customer 033","customer033@example.com","WEST","2020-12-29","true","2020-01-02 17:00:00.000000"
"34","CUST00000034","Customer 034","customer034@example.com","EAST","2021-01-09","true","2020-01-02 18:00:00.000000"
"35","CUST00000035","Customer 035","customer035@example.com","NORT","2021-01-20","true","2020-01-02 19:00:00.000000"
"36","CUST00000036","Customer 036","customer036@example.com","SOUT","2021-01-31","true","2020-01-02 20:00:00.000000"
"37","CUST00000037","Customer 037","customer037@example.com","WEST","2021-02-11","true","2020-01-02 21:00:00.000000"
"38","CUST00000038","Customer 038","customer038@example.com","EAST","2021-02-22","true","2020-01-02 22:00:00.000000"
"39","CUST00000039","Customer 039","customer039@example.com","NORT","2021-03-05","true","2020-01-02 23:00:00.000000"
"40","CUST00000040","Customer 040","customer040@example.com","SOUT","2021-03-16","false","2020-01-03 00:00:00.000000"
"41","CUST00000041","Customer 041","customer041@example.com","WEST","2021-03-27","true","2020-01-03 01:00:00.000000"
"42","CUST00000042","Customer 042","customer042@example.com","EAST","2021-04-07","true","2020-01-03 02:00:00.000000"
